marka,model,rocznik,naped,silnik,nadwozie
Ford,Mustang,2022,RWD,Spalinowy,Coupe
Tesla,Model S,2023,AWD,Elektryczny,Sedan
Volkswagen,Golf,2021,FWD,Spalinowy,Hatchback
BMW,3 Series,2022,RWD,Spalinowy,Sedan
Audi,Q5,2023,AWD,Spalinowy,SUV
Toyota,Corolla,2021,FWD,Spalinowy,Sedan
Mercedes-Benz,E-Class,2022,RWD,Spalinowy,Sedan
Nissan,Rogue,2023,AWD,Spalinowy,SUV
Ford,F-150,2022,RWD,Spalinowy,Pickup
Chevrolet,Camaro,2023,RWD,Spalinowy,Coupe
Hyundai,Sonata,2021,FWD,Spalinowy,Sedan
Kia,Sportage,2022,AWD,Spalinowy,SUV
Subaru,Outback,2023,AWD,Spalinowy,Wagon
Honda,Civic,2021,FWD,Spalinowy,Sedan
Volvo,XC60,2022,AWD,Spalinowy,SUV
Mazda,MX-5 Miata,2023,RWD,Spalinowy,Convertible
Ford,Escape,2021,FWD,Spalinowy,SUV
Audi,A4,2022,AWD,Spalinowy,Sedan
BMW,X5,2023,AWD,Spalinowy,SUV
Toyota,Highlander,2021,AWD,Spalinowy,SUV
Mercedes-Benz,GLC,2022,AWD,Spalinowy,SUV
Nissan,Sentra,2023,FWD,Spalinowy,Sedan
Ford,Explorer,2022,AWD,Spalinowy,SUV
Chevrolet,Silverado,2023,RWD,Spalinowy,Pickup
Hyundai,Tucson,2021,FWD,Spalinowy,SUV
Kia,Sorento,2022,AWD,Spalinowy,SUV
Subaru,Impreza,2023,AWD,Spalinowy,Sedan
Honda,Accord,2021,FWD,Spalinowy,Sedan
Volvo,S60,2022,FWD,Spalinowy,Sedan
Mazda,CX-5,2023,AWD,Spalinowy,SUV
Ford,Mustang Mach-E,2022,AWD,Elektryczny,SUV
Tesla,Model 3,2023,RWD,Elektryczny,Sedan
Volkswagen,Passat,2021,FWD,Spalinowy,Sedan
BMW,5 Series,2022,RWD,Spalinowy,Sedan
Audi,A6,2023,AWD,Spalinowy,Sedan
Toyota,RAV4,2021,AWD,Spalinowy,SUV
Mercedes-Benz,GLA,2022,AWD,Spalinowy,SUV
Nissan,Maxima,2023,FWD,Spalinowy,Sedan
Ford,Edge,2022,AWD,Spalinowy,SUV
Chevrolet,Equinox,2023,FWD,Spalinowy,SUV
Hyundai,Elantra,2021,FWD,Spalinowy,Sedan
Kia,Telluride,2022,AWD,Spalinowy,SUV
Subaru,Forester,2023,AWD,Spalinowy,SUV
Honda,CR-V,2021,AWD,Spalinowy,SUV
Volvo,XC90,2022,AWD,Spalinowy,SUV
Mazda,Mazda3,2023,FWD,Spalinowy,Sedan
Ford,Ranger,2022,RWD,Spalinowy,Pickup
Audi,Q7,2023,AWD,Spalinowy,SUV
BMW,X3,2022,AWD,Spalinowy,SUV
Toyota,Camry,2021,FWD,Spalinowy,Sedan
Ford,Focus RS,2017,RWD,Spalinowy,Coupe
Volkswagen,Golf V,2008,FWD,Spalinowy,Hatchback
